Design Photo,SKU,Active/Inactive,Item Description,Knot Type,knot des.,Jewelery Type,Jewl. Des.,Model #,Finish,Finish des.,Material Main,Mat. Main Des.,Material Combination 1,Mat. Comb Des.1,Material Combination 2,Mat. Comb Des.2,Length,Length Des.,Stone Type,Stone des.,Stone Carat,Carat des.,Future use,,Price,Special price,Description,Parent,Images,Size,,Mike SKU,Item des.
,10P001PWXNAR10,Active,OVAL DISK PENDANT w/ ROUGH DIAMOND,10,Wabi-Sabi,P,Pendant,001,P,Polished,W,White Gold 14K,X,No Combination,N,Round Leather Cord 1.5mm V.Black,A,30 Inch,R,Round Stone,1,1 carat,0,,300,,This is just a demi text. We are still working on marketing description for each item.,Parent,,"Extra-Small,Small",,LG00114W001,"Wabi-Sabi OVAL DISK PENDANT w/ ROUGH DIAMOND, Model #001, Pendant, Polished, White Gold 14K, No Combination, Round Leather Cord 1.5mm V.Black, 30 Inch, Round Stone, 1 carat"
,10P001PWXNAR10,Active,OVAL DISK PENDANT w/ ROUGH DIAMOND,10,Wabi-Sabi,P,Pendant,001,P,Polished,W,White Gold 14K,X,No Combination,N,Round Leather Cord 1.5mm V.Black,A,30 Inch,R,Round Stone,1,1 carat,0,,300,,This is just a demi text. We are still working on marketing description for each item.,10P001PWXNAR10,,"Extra-Small,Small",,LG00114W001,"Wabi-Sabi OVAL DISK PENDANT w/ ROUGH DIAMOND, Model #001, Pendant, Polished, White Gold 14K, No Combination, Round Leather Cord 1.5mm V.Black, 30 Inch, Round Stone, 1 carat"
,10P001PWXNAR20,Active,OVAL DISK PENDANT w/ ROUGH DIAMOND,10,Wabi-Sabi,P,Pendant,001,P,Polished,W,White Gold 14K,X,No Combination,N,Round Leather Cord 1.5mm V.Black,A,30 Inch,R,Round Stone,2,1.5 carat,0,,300,,This is just a demi text. We are still working on marketing description for each item.,10P001PWXNAR10,,"Extra-Small,Small",,LG00114W001,"Wabi-Sabi OVAL DISK PENDANT w/ ROUGH DIAMOND, Model #001, Pendant, Polished, White Gold 14K, No Combination, Round Leather Cord 1.5mm V.Black, 30 Inch, Round Stone, 1.5 carat"
,10P001PWXNAR50,Active,OVAL DISK PENDANT w/ ROUGH DIAMOND,10,Wabi-Sabi,P,Pendant,001,P,Polished,W,White Gold 14K,X,No Combination,N,Round Leather Cord 1.5mm V.Black,A,30 Inch,R,Round Stone,5,3 carat,0,,300,,This is just a demi text. We are still working on marketing description for each item.,Parent,,"Extra-Small,Small",,LG00114W001,"Wabi-Sabi OVAL DISK PENDANT w/ ROUGH DIAMOND, Model #001, Pendant, Polished, White Gold 14K, No Combination, Round Leather Cord 1.5mm V.Black, 30 Inch, Round Stone, 3 carat"
,10P001PWXNAR50,Active,OVAL DISK PENDANT w/ ROUGH DIAMOND,10,Wabi-Sabi,P,Pendant,001,P,Polished,W,White Gold 14K,X,No Combination,N,Round Leather Cord 1.5mm V.Black,A,30 Inch,R,Round Stone,5,3 carat,0,,300,,This is just a demi text. We are still working on marketing description for each item.,10P001PWXNAR11,,"Extra-Small,Small",,LG00114W001,"Wabi-Sabi OVAL DISK PENDANT w/ ROUGH DIAMOND, Model #001, Pendant, Polished, White Gold 14K, No Combination, Round Leather Cord 1.5mm V.Black, 30 Inch, Round Stone, 3 carat"
